ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64128,2097,1795,72,2,0,24,0.000176000,,,,,21.790092000,0.000176000,0.968681000,0.000176000,43190
1,0,,,,127,6,262144,1867,2097,72,2,0,24,0.081466000,,,,,21.871558000,0.081466000,1.050147000,0.081466000,445
1,0,,,,64,6,64128,2169,1867,0,2,0,17,0.000126000,,,,,21.871684000,0.000126000,1.050273000,0.000126000,43190
1,0,,,,64,6,64240,0,0,0,4,0,2,,,,,,21.901796000,0.030112000,0.000000000,0.000000000,43198
1,0,,,,64,6,64240,0,0,0,5,0,2,,,,,,21.906984000,0.005188000,0.000000000,0.000000000,45188
1,0,,,,127,6,262144,1868,2169,0,2,0,16,0.077604000,,,,,21.949288000,0.042304000,1.127877000,0.077604000,445
1,0,,,,127,6,65535,1,0,0,4,0,18,0.078649000,,,,,21.980445000,0.031157000,0.078649000,0.078649000,445
1,0,,,,64,6,64256,1,1,0,4,0,16,0.000038000,,,,,21.980483000,0.000038000,0.078687000,0.000038000,43198
1,0,,,,64,6,64256,1,1,88,4,0,24,,,,,,21.980732000,0.000249000,0.078936000,0.000249000,43198
1,0,,,,127,6,8192,1,0,0,5,0,18,0.077781000,,,,,21.984765000,0.004033000,0.077781000,0.077781000,139
1,0,,,,64,6,0,0,1,0,5,0,4,,,,,,21.984791000,0.000026000,0.077807000,0.000026000,45188
1,0,,,,127,6,0,1868,2169,0,2,0,20,,,,,,22.009388000,0.024597000,1.187977000,0.060100000,445
1,0,,,,127,6,262656,89,1,252,4,0,24,0.078504000,,,,,22.059236000,0.049848000,0.157440000,0.078504000,445
1,0,,,,64,6,64128,253,89,0,4,0,16,0.000029000,,,,,22.059265000,0.000029000,0.157469000,0.000029000,43198
1,0,,,,64,6,64128,253,89,236,4,0,24,,,,,,22.059415000,0.000150000,0.157619000,0.000150000,43198
1,0,,,,127,6,262400,325,253,312,4,0,24,0.104544000,,,,,22.163959000,0.104544000,0.262163000,0.104544000,445
1,0,,,,64,6,64128,565,325,166,4,0,24,0.002529000,,,,,22.166488000,0.002529000,0.264692000,0.002529000,43198
1,0,,,,127,6,262144,491,565,351,4,0,24,0.078175000,,,,,22.244663000,0.078175000,0.342867000,0.078175000,445
1,0,,,,64,6,64128,916,491,236,4,0,24,0.000287000,,,,,22.244950000,0.000287000,0.343154000,0.000287000,43198
1,0,,,,127,6,261888,727,916,85,4,0,24,0.080418000,,,,,22.325368000,0.080418000,0.423572000,0.080418000,445
1,0,,,,64,6,64128,1001,727,114,4,0,24,0.000256000,,,,,22.325624000,0.000256000,0.423828000,0.000256000,43198
1,0,,,,127,6,261888,841,1001,84,4,0,24,0.077913000,,,,,22.403537000,0.077913000,0.501741000,0.077913000,445
1,0,,,,64,6,64128,1085,841,72,4,0,24,0.000308000,,,,,22.403845000,0.000308000,0.502049000,0.000308000,43198
1,0,,,,127,6,261632,913,1085,72,4,0,24,0.078512000,,,,,22.482357000,0.078512000,0.580561000,0.078512000,445
1,0,,,,64,6,64128,1157,913,0,4,0,17,0.000213000,,,,,22.482570000,0.000213000,0.580774000,0.000213000,43198
1,0,,,,64,6,64240,0,0,0,6,0,2,,,,,,22.511556000,0.028986000,0.000000000,0.000000000,43212
1,0,,,,64,6,64240,0,0,0,7,0,2,,,,,,22.516735000,0.005179000,0.000000000,0.000000000,45196
1,0,,,,127,6,261632,914,1157,0,4,0,16,0.077680000,,,,,22.560250000,0.043515000,0.658454000,0.077680000,445
1,0,,,,127,6,0,914,1157,0,4,0,20,,,,,,22.561138000,0.000888000,0.659342000,0.000888000,445
