ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64128,4717,518,80,2,0,24,,,,,,7.871839000,0.020833000,0.049879000,0.020833000,49834
1,0,,,,64,6,64128,4717,598,86,2,0,24,,,,,,7.871916000,0.000077000,0.049956000,0.000077000,49834
1,0,,,,57,6,65536,684,4717,0,2,0,16,0.007601000,,,,,7.879517000,0.007601000,0.057557000,0.007601000,443
1,0,,,,57,6,65536,684,4717,553,2,0,24,,,,,,7.879518000,0.000001000,0.057558000,0.000001000,443
1,0,,,,64,6,64128,4717,684,117,2,0,24,,,,,,7.879556000,0.000038000,0.057596000,0.000038000,49834
1,0,,,,64,6,64128,5270,801,31,2,0,24,0.001185000,,,,,7.880703000,0.001147000,0.058743000,0.001147000,49834
1,0,,,,57,6,65536,832,5270,0,2,0,16,0.006767000,,,,,7.887470000,0.006767000,0.065510000,0.006767000,443
1,0,,,,64,6,62208,7346,4431,883,0,0,24,,,,,,7.999192000,0.111722000,7.995515000,7.899823000,49958
1,0,,,,57,6,65536,832,5270,557,2,0,24,,,,,,8.036635000,0.037443000,0.214675000,0.149165000,443
1,0,,,,64,6,64128,5827,832,64,2,0,24,0.000606000,,,,,8.037241000,0.000606000,0.215281000,0.000606000,49834
1,0,,,,45,6,64128,5314,7346,0,0,0,16,0.056458000,,,,,8.055650000,0.018409000,8.051973000,0.056458000,60514
1,0,,,,57,6,65536,896,5827,0,2,0,16,0.047598000,,,,,8.084839000,0.029189000,0.262879000,0.047598000,443
1,0,,,,57,6,65536,896,5827,814,2,0,24,,,,,,8.116197000,0.031358000,0.294237000,0.031358000,443
1,0,,,,57,6,65536,896,6641,31,2,0,24,,,,,,8.116198000,0.000001000,0.294238000,0.000001000,443
1,0,,,,64,6,64128,6672,896,0,2,0,16,0.000317000,,,,,8.116515000,0.000317000,0.294555000,0.000317000,49834
1,0,,,,64,6,64128,6672,896,88,2,0,24,,,,,,8.117030000,0.000515000,0.295070000,0.000515000,49834
1,0,,,,57,6,57344,984,6672,0,2,0,16,0.007261000,,,,,8.124291000,0.007261000,0.302331000,0.007261000,443
