ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,57,17,,,,,,,,,,,,443,9.443452000,0.000014000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.443474000,0.000022000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443515000,0.000041000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443646000,0.000131000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443765000,0.000119000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443895000,0.000130000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444012000,0.000117000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444144000,0.000132000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444145000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.444227000,0.000082000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444271000,0.000044000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444395000,0.000124000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444525000,0.000130000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.444585000,0.000060000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444644000,0.000059000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.444701000,0.000057000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444767000,0.000066000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.444768000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.444826000,0.000058000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.445636000,0.000810000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.445637000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.445638000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.445639000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.445640000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.445723000,0.000083000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.445761000,0.000038000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.445796000,0.000035000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.445824000,0.000028000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446373000,0.000549000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.446503000,0.000130000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446604000,0.000101000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446605000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446606000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446607000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446608000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.446609000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.446792000,0.000183000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.446855000,0.000063000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.446902000,0.000047000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.446946000,0.000044000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447583000,0.000637000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447584000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447585000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447587000,0.000002000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447588000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447588000,0.000000000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447589000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.447591000,0.000002000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448183000,0.000592000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448241000,0.000058000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448370000,0.000129000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448370000,0.000000000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448371000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448372000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448373000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448374000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448375000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448377000,0.000002000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448480000,0.000103000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448481000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448482000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448490000,0.000008000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448528000,0.000038000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448603000,0.000075000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448622000,0.000019000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448623000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448628000,0.000005000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448656000,0.000028000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448764000,0.000108000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448765000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.448767000,0.000002000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448821000,0.000054000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448854000,0.000033000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.448881000,0.000027000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.449845000,0.000964000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.449932000,0.000087000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.449992000,0.000060000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.449993000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.449994000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.452487000,0.002493000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.453143000,0.000656000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.453325000,0.000182000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.453627000,0.000302000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.456727000,0.003100000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.462753000,0.006026000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.462836000,0.000083000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.468467000,0.005631000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.489352000,0.020885000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.491394000,0.002042000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.491422000,0.000028000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.491423000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.491472000,0.000049000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.491525000,0.000053000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.491621000,0.000096000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492211000,0.000590000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.492213000,0.000002000,,,
